,y1
0,"tensor([1.0818, 1.0818, 1.0818, 1.0818, 1.0818, 1.0818, 1.0818, 1.0818, 1.0818,
        1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763,
        1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763,
        1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763,
        1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.2763, 1.3980,
        1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980,
        1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980,
        1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980,
        1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980,
        1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980, 1.3980,
        1.3980], dtype=torch.float64)"
1,"tensor([1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918, 1.2918,
        1.2918], dtype=torch.float64)"
2,"tensor([1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.2839,
        1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.2839, 1.3142,
        1.3142, 1.3142, 1.3142, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864,
        1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864,
        1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.4224,
        1.4224, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701,
        1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701,
        1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701,
        1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701,
        1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4701, 1.4764, 1.4764, 1.4764,
        1.4764], dtype=torch.float64)"
3,"tensor([1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0020,
        1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0020, 1.0503,
        1.0503, 1.0503, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236, 1.3236,
        1.3236], dtype=torch.float64)"
4,"tensor([1.2362, 1.2362, 1.2362, 1.2362, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267,
        1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4431, 1.4431,
        1.4431, 1.4431, 1.4459, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794], dtype=torch.float64)"
5,"tensor([1.2362, 1.2362, 1.2362, 1.2362, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267,
        1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4431, 1.4431,
        1.4431, 1.4431, 1.4459, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794, 1.4794,
        1.4794], dtype=torch.float64)"
6,"tensor([1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810,
        1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810,
        1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810, 1.3810,
        1.3810, 1.3810, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120,
        1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120,
        1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120,
        1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120,
        1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120,
        1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120,
        1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120, 1.4120,
        1.4120], dtype=torch.float64)"
7,"tensor([0.7164, 0.7164, 0.7432, 0.7432, 0.7432, 0.7432, 0.9053, 0.9053, 0.9053,
        0.9053, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294,
        1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294,
        1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294, 1.0294,
        1.0294, 1.0294, 1.0294, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698,
        1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698,
        1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.1698, 1.2049, 1.2049,
        1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049,
        1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049,
        1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.2049, 1.3031,
        1.3031], dtype=torch.float64)"
8,"tensor([1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027,
        1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027,
        1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027,
        1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027,
        1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027, 1.3027,
        1.3027, 1.3027, 1.3027, 1.3027, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267,
        1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267,
        1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267,
        1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267,
        1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267, 1.4267,
        1.4267], dtype=torch.float64)"
9,"tensor([0.9343, 0.9343, 0.9343, 0.9343, 0.9343, 0.9343, 0.9343, 1.1292, 1.1292,
        1.1292, 1.1292, 1.1292, 1.1292, 1.1292, 1.1292, 1.1292, 1.2436, 1.2436,
        1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436,
        1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436, 1.2436,
        1.2436, 1.2436, 1.2436, 1.2436, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461,
        1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461,
        1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2461, 1.2628,
        1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628,
        1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628,
        1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628, 1.2628,
        1.2628], dtype=torch.float64)"
10,"tensor([0.6779, 0.7316, 0.7316, 1.1261, 1.1261, 1.1261, 1.1261, 1.1261, 1.1261,
        1.1261, 1.1261, 1.1261, 1.1261, 1.1953, 1.1953, 1.1953, 1.1953, 1.1953,
        1.1953, 1.1953, 1.1953, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839, 1.3839,
        1.3839], dtype=torch.float64)"
11,"tensor([1.0353, 1.0353, 1.0353, 1.0353, 1.0353, 1.0353, 1.0353, 1.0353, 1.1251,
        1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251,
        1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251, 1.1251,
        1.1251, 1.1251, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466,
        1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466,
        1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466,
        1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1466,
        1.1466, 1.1466, 1.1466, 1.1466, 1.1466, 1.1823, 1.1823, 1.1823, 1.1823,
        1.1823, 1.1823, 1.1823, 1.2191, 1.2191, 1.2191, 1.2191, 1.2191, 1.3385,
        1.3385, 1.3385, 1.3385, 1.3385, 1.3385, 1.3385, 1.3385, 1.3385, 1.3385,
        1.3385], dtype=torch.float64)"
12,"tensor([1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923,
        1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923,
        1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923,
        1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923,
        1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923,
        1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923,
        1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923,
        1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.1923, 1.3723, 1.3723,
        1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723,
        1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723, 1.3723,
        1.3723], dtype=torch.float64)"
13,"tensor([1.4657, 1.5619, 1.5619, 1.5619, 1.5619, 1.5619, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755, 1.5755,
        1.5755], dtype=torch.float64)"
14,"tensor([0.7260, 0.7260, 0.7260, 0.7958, 0.7958, 0.7958, 0.7958, 0.7958, 0.8788,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554, 1.3554,
        1.3554], dtype=torch.float64)"
15,"tensor([1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499,
        1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499,
        1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499,
        1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.0499,
        1.0499, 1.0499, 1.0499, 1.0499, 1.0499, 1.2890, 1.2890, 1.2890, 1.2890,
        1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890,
        1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890,
        1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890,
        1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.2890, 1.4256,
        1.4256, 1.4256, 1.4256, 1.4256, 1.4256, 1.4256, 1.4256, 1.4256, 1.4256,
        1.4256], dtype=torch.float64)"
16,"tensor([1.2417, 1.2417, 1.2417, 1.2417, 1.2417, 1.2417, 1.2417, 1.2417, 1.2417,
        1.2817, 1.2817, 1.3228, 1.3228, 1.3228, 1.3838, 1.3838, 1.3838, 1.3838,
        1.3838, 1.3838, 1.3838, 1.3838, 1.3838, 1.3872, 1.3872, 1.3872, 1.4194,
        1.4317, 1.4317, 1.4317, 1.4369, 1.4369, 1.4369, 1.4369, 1.4614, 1.4614,
        1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614,
        1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614,
        1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614, 1.4614,
        1.4614, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972,
        1.4972, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972, 1.4972,
        1.4972, 1.4972, 1.5010, 1.5010, 1.5129, 1.5129, 1.5257, 1.5257, 1.5257,
        1.5624], dtype=torch.float64)"
