,y1
0,"tensor([2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694,
        2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694,
        2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.0694, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
1,"tensor([0.8604, 0.8604, 0.8604, 0.8604, 0.8604, 1.4474, 1.4474, 1.4474, 2.0332,
        2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332,
        2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332, 2.0332,
        2.0332, 2.0332, 2.0332, 2.0332, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
2,"tensor([0.9272, 0.9272, 0.9272, 0.9272, 0.9272, 0.9272, 0.9272, 0.9272, 0.9272,
        0.9272, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.7081], dtype=torch.float64)"
3,"tensor([2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
4,"tensor([0.6157, 0.6157, 0.6157, 0.6157, 0.6157, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
5,"tensor([2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257, 2.5257,
        2.5257, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
6,"tensor([1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651,
        1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651,
        1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651, 1.0651,
        1.0651, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
7,"tensor([1.1076, 1.1076, 1.1076, 1.1076, 1.1076, 1.1076, 1.1076, 1.1076, 1.5101,
        1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101,
        1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101, 1.5101,
        1.5101, 1.5101, 1.5101, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
8,"tensor([2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
9,"tensor([0.2090, 0.2090, 0.2090, 0.2090, 0.2090, 0.2090, 0.3464, 0.3464, 0.3464,
        0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464,
        0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464, 0.3464,
        0.3464, 0.3464, 0.3464, 0.3464, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081, 2.7081,
        2.7081], dtype=torch.float64)"
