,y1
0,"tensor([ 8.3865,  8.3865,  8.3865,  8.4204,  8.4204,  8.4204,  8.4204,  8.4204,
         8.4204,  8.4204,  8.4204,  8.4204,  8.4204,  8.4204,  8.4204,  8.4204,
         8.5354,  8.5354,  8.5354,  8.5354,  8.5354,  8.5354,  8.5354,  8.5354,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626, 10.6626,
        10.6626, 10.6626, 10.6626], dtype=torch.float64)"
1,"tensor([ 7.7235,  8.1341,  8.1341,  8.1341,  8.1341,  8.1341, 10.1526, 10.1526,
        10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526,
        10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526,
        10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526,
        10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526,
        10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526,
        10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526,
        10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.1526, 10.3459,
        10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459,
        10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459,
        10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459,
        10.3459, 10.3459, 10.3459], dtype=torch.float64)"
2,"tensor([7.4207, 7.4207, 7.4207, 7.4207, 7.4207, 7.4207, 7.4207, 7.4207, 7.4207,
        7.4207, 8.0738, 8.0738, 8.0738, 8.0738, 8.0738, 8.0738, 8.0738, 8.0738,
        8.0738, 8.0738, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691,
        8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691,
        8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691,
        8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691,
        8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691,
        8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691, 8.9691,
        9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046,
        9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046, 9.9046,
        9.9046], dtype=torch.float64)"
3,"tensor([10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173, 10.2173,
        10.2173, 10.2173, 10.2173], dtype=torch.float64)"
4,"tensor([6.7158, 6.7158, 6.7158, 7.2228, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754, 9.7754,
        9.7754], dtype=torch.float64)"
5,"tensor([8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004,
        8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004, 8.6004,
        8.7524, 8.7524, 8.7524, 8.7524, 8.7524, 8.7524, 8.7524, 8.7524, 8.7524,
        8.7524, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517,
        9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517,
        9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517,
        9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517,
        9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517,
        9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517,
        9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517, 9.9517,
        9.9517], dtype=torch.float64)"
6,"tensor([7.4581, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873,
        9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873,
        9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873,
        9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.0873, 9.4293, 9.9627, 9.9627,
        9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627,
        9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627,
        9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627,
        9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627,
        9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627,
        9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627, 9.9627,
        9.9627], dtype=torch.float64)"
7,"tensor([7.1636, 7.1636, 7.1636, 8.5330, 8.5330, 8.5330, 8.5330, 8.5330, 8.5330,
        8.5330, 8.5330, 8.5330, 8.5330, 8.5330, 8.5330, 8.5330, 8.5330, 8.5330,
        8.5330, 8.5330, 8.5330, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781, 9.5781,
        9.5781], dtype=torch.float64)"
8,"tensor([6.5897, 6.5897, 6.5897, 6.5897, 6.5897, 6.5897, 7.7983, 7.7983, 7.7983,
        7.7983, 7.7983, 8.2418, 8.2418, 8.2418, 8.2418, 8.2418, 8.2418, 8.2418,
        8.2418, 8.2418, 8.2418, 8.2418, 8.2418, 8.2418, 8.2418, 8.2418, 8.2418,
        8.2418, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552,
        9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552,
        9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552,
        9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552, 9.0552,
        9.0552, 9.0552, 9.0552, 9.0552, 9.4847, 9.4847, 9.5518, 9.5518, 9.5518,
        9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518,
        9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518, 9.5518,
        9.5518], dtype=torch.float64)"
9,"tensor([10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777, 10.5777,
        10.5777, 10.5777, 10.5777], dtype=torch.float64)"
