,y1
0,"tensor([-66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304, -66.2304,
        -64.3354, -64.3354, -64.3354, -64.3354, -64.3354, -64.3354, -64.3354,
        -64.3354, -64.3354, -64.3354, -64.3354, -64.3354, -64.3354, -64.3354,
        -64.3354, -64.3354, -64.3354, -44.6198, -44.6198, -38.1830, -38.1830,
        -38.1830, -38.1830, -38.1830, -38.1830, -38.1830, -38.1830, -38.1830],
       dtype=torch.float64)"
1,"tensor([-96.3648, -96.3648, -81.0394, -81.0394, -81.0394, -81.0394, -81.0394,
        -73.2470, -57.0931, -57.0931, -57.0931, -57.0931, -57.0931, -57.0931,
        -57.0931, -38.2186, -38.2186, -38.2186, -38.2186, -38.2186, -38.2186,
        -38.2186, -38.2186, -38.2186, -38.2186, -38.2186, -38.2186, -38.2186,
        -38.2186, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168],
       dtype=torch.float64)"
2,"tensor([-88.1866, -87.8285, -87.8285, -87.8285, -87.8285, -87.8285, -83.2128,
        -83.2128, -59.6371, -59.6371, -59.6371, -59.6371, -59.6371, -59.6371,
        -59.6371, -59.6371, -59.6371, -59.6371, -59.6371, -59.6371, -59.6371,
        -59.6371, -59.6371, -57.7123, -57.7123, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962],
       dtype=torch.float64)"
3,"tensor([-86.5738, -86.5738, -86.5738, -86.5738, -85.6253, -82.9104, -82.9104,
        -82.9104, -82.9104, -82.7568, -82.7568, -68.7216, -60.0461, -60.0461,
        -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461,
        -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461,
        -60.0461, -60.0461, -43.5677, -43.5677, -43.1069, -43.1069, -43.1069,
        -43.1069, -43.1069, -43.1069, -40.8720, -36.7555, -36.7555, -36.7555,
        -36.7555, -36.7555, -36.7555, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962,
        -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962, -34.7962],
       dtype=torch.float64)"
4,"tensor([-95.6746, -95.6746, -90.9034, -90.9034, -90.9034, -90.9034, -90.9034,
        -86.7600, -86.7600, -86.7600, -86.7600, -86.7600, -84.3830, -84.3830,
        -84.3830, -71.9136, -71.9136, -68.6102, -68.6102, -58.4160, -58.4160,
        -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160,
        -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160,
        -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160,
        -51.0374, -51.0374, -49.6992, -49.6992, -49.6992, -49.6992, -49.6992,
        -49.6992, -49.6992, -49.6992, -49.6992, -49.6992, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -38.2186, -38.2186, -36.2477, -36.2477, -36.2477, -36.2477],
       dtype=torch.float64)"
5,"tensor([-95.6746, -95.6746, -90.9034, -90.9034, -90.9034, -90.9034, -90.9034,
        -86.7600, -86.7600, -86.7600, -86.7600, -86.7600, -84.3830, -84.3830,
        -84.3830, -71.9136, -71.9136, -68.6102, -68.6102, -58.4160, -58.4160,
        -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160,
        -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160,
        -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160, -58.4160,
        -51.0374, -51.0374, -49.6992, -49.6992, -49.6992, -49.6992, -49.6992,
        -49.6992, -49.6992, -49.6992, -49.6992, -49.6992, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003, -39.4003,
        -39.4003, -38.2186, -38.2186, -36.2477, -36.2477, -36.2477, -36.2477],
       dtype=torch.float64)"
6,"tensor([-78.3994, -78.3994, -78.3994, -78.3994, -78.3994, -78.3994, -78.3994,
        -78.3994, -78.3994, -78.3994, -78.3994, -76.5168, -76.5168, -76.5168,
        -76.5168, -76.5168, -76.5168, -76.5168, -74.7446, -74.7446, -74.7446,
        -74.7446, -74.7446, -74.7446, -74.7446, -74.7446, -74.7446, -74.7446,
        -74.7446, -74.7446, -74.7446, -74.7446, -74.7446, -74.7446, -74.7446,
        -74.7446, -74.7446, -74.7446, -74.7446, -74.7446, -74.7446, -68.3050,
        -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050,
        -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050,
        -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050,
        -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050,
        -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050,
        -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050,
        -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050, -68.3050],
       dtype=torch.float64)"
7,"tensor([-73.4160, -73.4160, -73.4160, -73.4160, -73.4160, -73.4160, -73.4160,
        -73.4160, -73.4160, -73.4160, -73.4160, -73.4160, -73.4160, -73.4160,
        -73.4160, -73.4160, -73.4160, -73.4160, -73.4160, -62.0246, -62.0246,
        -62.0246, -62.0246, -62.0246, -62.0246, -62.0246, -62.0246, -62.0246,
        -62.0246, -62.0246, -62.0246, -62.0246, -62.0246, -62.0246, -62.0246,
        -62.0246, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461,
        -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461,
        -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461,
        -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461,
        -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461,
        -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461,
        -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461,
        -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461, -58.2461],
       dtype=torch.float64)"
8,"tensor([-86.6582, -86.6582, -86.6582, -86.6582, -86.6582, -86.6582, -68.2205,
        -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205,
        -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205,
        -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205,
        -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205, -68.2205,
        -68.2205, -68.2205, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808,
        -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808,
        -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808,
        -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808,
        -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808,
        -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808,
        -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808,
        -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808, -56.9808],
       dtype=torch.float64)"
9,"tensor([-53.0611, -53.0611, -53.0611, -53.0611, -53.0611, -53.0611, -53.0611,
        -53.0611, -53.0611, -53.0611, -50.9904, -50.9904, -42.3706, -42.3706,
        -42.3706, -42.3706, -42.3706, -42.3706, -42.3706, -42.3706, -36.2477,
        -36.2477, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168],
       dtype=torch.float64)"
