,y1
0,"tensor([3.2800, 3.2800, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000,
        3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000,
        3.6000, 3.6000, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700,
        3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 4.1500, 4.1500,
        4.1500, 4.1500, 4.1500, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000], dtype=torch.float64)"
1,"tensor([3.6200, 3.6200, 3.6700, 3.6700, 3.6700, 3.6700, 3.6700, 3.6700, 3.6700,
        3.7200, 3.7600, 3.7600, 3.7600, 3.7600, 3.7600, 3.7600, 3.7600, 3.7600,
        3.7600, 3.7600, 3.7600, 3.7600, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700,
        3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700,
        3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700,
        3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700, 3.9700,
        3.9700, 3.9700, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900,
        4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900,
        4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900,
        4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900, 4.3900,
        4.3900], dtype=torch.float64)"
2,"tensor([3.1100, 3.1100, 3.1100, 3.1100, 3.2600, 3.2600, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800], dtype=torch.float64)"
3,"tensor([4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.4100, 4.4100, 4.4100,
        4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100,
        4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100,
        4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100,
        4.4100], dtype=torch.float64)"
4,"tensor([4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000,
        4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.2000, 4.4100, 4.4100, 4.4100,
        4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100,
        4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100,
        4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100, 4.4100], dtype=torch.float64)"
5,"tensor([3.5700, 3.5700, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800,
        4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800, 4.3800], dtype=torch.float64)"
6,"tensor([4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000,
        4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000, 4.3000], dtype=torch.float64)"
7,"tensor([3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000, 3.6000,
        3.7000, 3.7000, 3.7000, 3.7000, 3.8000, 3.8000, 3.8000, 3.8000, 3.8000,
        3.8000, 3.8000, 3.8000, 3.8000, 3.8000, 3.8000, 3.8000, 3.8900, 3.8900,
        3.8900, 3.8900, 3.8900, 3.8900, 4.0500, 4.0500, 4.0500, 4.0500, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900], dtype=torch.float64)"
8,"tensor([3.4100, 3.4100, 3.8500, 3.8500, 3.8500, 3.8500, 3.8500, 3.8500, 3.8500,
        3.8500, 3.8500, 3.8500, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000,
        3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000,
        3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000, 3.9000,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000], dtype=torch.float64)"
9,"tensor([4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600,
        4.2600], dtype=torch.float64)"
