,y1
0,"tensor([2.6167, 2.6695, 3.0345, 3.0345, 3.0345, 3.0345, 3.0345, 3.0345, 3.0345,         3.0345, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155,         3.2155, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155, 3.2155,         3.2155, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287,         3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287,         3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287, 3.7287,         3.7287, 3.7287, 3.7287, 3.7287, 3.7655, 3.7655, 3.7655, 3.7655, 3.7655,         3.8602, 3.8602, 3.8602, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802,         3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802,         3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669], dtype=torch.float64)"
1,"tensor([2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137, 2.8137,         2.8137, 2.8137, 2.8137, 2.8137, 2.9181, 2.9181, 2.9181, 2.9181, 2.9181,         2.9181], dtype=torch.float64)"
2,"tensor([2.4161, 2.4161, 2.4161, 2.4161, 2.4161, 2.4161, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662, 3.0662,         3.0662], dtype=torch.float64)"
3,"tensor([3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374], dtype=torch.float64)"
4,"tensor([3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608,         3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608,         3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608, 3.1608,         3.1608, 3.1608, 3.1608, 3.3663, 3.3663, 3.3663, 3.3663, 3.3663, 3.3663,         3.3663, 3.3663, 3.3663, 3.3663, 3.3663, 3.4212, 3.4212, 3.4212, 3.4212,         3.4212, 3.4212, 3.4212, 3.4212, 3.4212, 3.4212, 3.4212, 3.4212, 3.4212,         3.4212, 3.4212, 3.4212, 3.4212, 3.4212, 3.4212, 3.4212, 3.5462, 3.5462,         3.5462, 3.5462, 3.5462, 3.5462, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898,         3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898,         3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898, 3.5898,         3.5898], dtype=torch.float64)"
5,"tensor([2.2775, 2.2775, 2.2775, 2.2775, 2.2775, 2.2775, 2.2775, 2.2775, 2.2775,         2.2775, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624,         3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624,         3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624,         3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624,         3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624,         3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624, 3.4624,         3.4624, 3.4624, 3.4927, 3.4927, 3.4927, 3.4927, 3.4927, 3.7350, 3.7350,         3.7350, 3.7350, 3.7350, 3.7350, 3.7350, 3.9802, 3.9802, 3.9802, 3.9802,         3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802, 3.9802,         3.9802], dtype=torch.float64)"
6,"Tensor([2.5979, 2.5979, 2.5979, 2.5979, 2.5979, 2.5979, 2.5979, 2.5979, 2.5979,          2.5979, 2.5979, 2.5979, 2.5979, 2.5979, 2.5979, 2.5979, 2.9142, 3.1480,           3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,          3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,          3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,           3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,           3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,          3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,          3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,          3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480, 3.1480,          3.1480], dtype=torch.float64)"
7,"tensor([1.9764, 1.9764, 2.0365, 2.0365, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517, 3.1517,         3.1517], dtype=torch.float64)"
8,"tensor([2.5821, 2.5821, 2.5821, 2.5821, 2.5821, 2.5821, 2.5821, 2.5821, 2.5821,         2.5821, 2.5821, 2.5821, 2.5821, 2.5821, 2.5821, 2.5821, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953, 3.2953,         3.2953], dtype=torch.float64)"
9,"tensor([1.5891, 1.5891, 1.9334, 1.9334, 1.9334, 1.9334, 2.4933, 2.4933, 2.4933,         2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933,         2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933,         2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933, 2.4933,         2.4933, 2.7400, 2.7400, 2.7400, 2.7400, 2.7400, 2.7400, 2.7400, 2.7400,         2.7400, 2.7400, 2.7400, 2.7400, 2.7400, 2.7400, 2.7400, 3.9065, 3.9065,         3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065,         3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065,         3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065,         3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065, 3.9065,         3.9065], dtype=torch.float64)"
